Key	Type	Desc	English	German	Japanese	Korean	Spanish	Chinese (Simplified)	Thai
Items/SulfurPantsArmor	Text	 [new]	Sulfossil Boots	Schwefossil-Stiefel	硫黄化石のブーツ	유황화석 장화	Botas de sulfósil	硫化石靴子	บูทซัลฟอสซิล
Items/SulfurPantsArmorDesc	Text	 [new]	The gel padding adds a bounce to your step. Suprisingly quiet for the force contained within.	Die Gel-Polsterung sorgt für mehr Schwung beim Gehen. Erstaunlich leise für die Kraft, die dahintersteckt.	ゲル状の詰め物がされており弾むように歩行することができる。中に込められている力にしては、驚くほど静かだ。	젤 재질이 덧대어 있어 발걸음이 가벼워집니다. 안에 강력한 힘이 깃들어 있지만, 놀라울 정도로 조용합니다.	La amortiguación de gel te permite desplazarte de una forma más saltarina. Sorprendentemente silenciosas para la fuerza que contienen.	凝胶垫能在走路时提供弹性。虽然包含巨大力量，但是却出奇得安静。	เจลบุด้านในทำให้มีแรงเด้งเวลาเดิน เงียบอย่างน่าเหลือเชื่อเมื่อเทียบกับพลังงานที่กักเก็บอยู่ภายใน
Items/SulfurTree	Text	 [new]	Sulfur Tree	Schwefelbaum	硫黄の木	유황나무	Árbol de azufre	硫磺树	ต้นกำมะถัน
Items/SulfurTreeDesc	Text	 [new]	This gnarled tree feasts on the organic matter of the passage. It sprouts glowing sacs of toxic gas.	Dieser knorrige Baum ernährt sich von der organischen Materie der Passage. Er stößt glühende Blasen mit giftigem Gas aus.	通路の有機物を食べて育つ節くれ立った木。毒ガスをたくわえた光る袋を発芽させる。	이 옹이투성이 나무는 통로의 유기체를 포식합니다. 독성 가스가 들어 있는 빛나는 주머니가 자라납니다.	Este nudoso árbol se alimenta de la materia orgánica del Pasadizo. Genera unas vesículas resplandecientes de gas tóxico.	这棵长着结节的树以通道中的有机物为食。它会长出充满毒气的发光囊。	ต้นไม้ตะปุ่มตะป่ำนี้กินสิ่งมีชีวิตในทางข้ามผ่านเป็นอาหาร แตกหน่อเป็นกระเปาะแก๊สพิษเรืองแสง
Items/SulfurWormTrophy	Text	 [new]	Sulfur Worm Figurine	Schwefelwurm-Figur	イオウムシの像	유황 벌레상	Figurita de gusano de azufre	硫磺蠕虫小雕像	ฟิกเกอร์หนอนกำมะถัน
Items/SulfurWormTrophyDesc	Text	 [new]	A lifelike representation of a Sulfur Worm.	Eine lebensechte Nachbildung eines Schwefelwurms.	今にも動き出しそうなイオウムシの像。	유황 벌레의 모습을 그대로 본뜬 조각상입니다.	Una representación realista de un gusano de azufre.	活灵活现地刻画出了硫磺蠕虫的样子。	หุ่นจำลองเหมือนจริงของหนอนกำมะถัน
Items/SummonerOffhand	Text	 [new]	Scratched Stone	Zerkratzter Stein	爪痕のついた石	긁힌 돌	Piedra arañada	爪痕石	หินรอยเล็บ
Items/SummonerOffhandDesc	Text	 [new]	The claw marks in this rock reveal dormant energies inside, waiting to be awoken.	Die Krallenspuren auf diesem Stein enthüllen die ungenutzten Energien in seinem Inneren, die darauf warten, erweckt zu werden.	爪痕がつけられたことにより、内部で眠っていたエネルギーが暴き出された石。覚醒の時を待っている。	이 바위의 발톱 자국은 안에 누군가 깨우기를 기다리는 에너지가 잠들어 있다는 것을 보여줍니다.	Las marcas de garras de esta roca son testimonio de las energías latentes que alberga aguardando a ser despertadas.	这块石头上的爪痕透露出其中沉睡的能量，随时会被唤醒。	รอยเล็บในก้อนหินเผยให้เห็นพลังงานที่เก็บอยู่ภายใน รอเวลาที่จะตื่นขึ้น
Items/SunStaff	Text	 [new]	Sun Caller	Sonnenbeschwörer	サンコーラー	태양 부르미	Invocador solar	太阳召唤器	เพรียกหาตะวัน
Items/SunStaffDesc	Text	 [new]	Used by great mages to conjure small stars.	Wird von großen Magiern benutzt, um kleine Sterne zu beschwören.	偉大な魔法使いが小さな星を召喚するために使う杖。	위대한 마법사들이 작은 별을 만들 때 사용합니다.	Empleado por grandes hechiceros para hacer aparecer pequeñas estrellas.	被伟大的法师用来召唤小恒星。	ถูกใช้โดยจอมเวทผู้ยิ่งใหญ่เพื่อเสกดาวดวงเล็กออกมา
Items/SunglassesHelm	Text	 [new]	Sunglasses	Sonnenbrille	サングラス	선글라스	Gafas de sol	太阳镜	แว่นกันแดด
Items/SunglassesHelmDesc	Text	 [new]	Nothing is more important than sporting cool sunglasses, even when it's dark.	Nichts ist wichtiger als eine coole Sonnenbrille zu tragen, selbst im Dunkeln.	洞窟だろうが暗かろうが、クールなサングラスを身に着けるのは何よりも重要だ。	멋진 선글라스를 뽐내는 것보다 중요한 건 없습니다. 어두울 때조차 말이죠.	Nada es más importante que llevar unas molonas gafas de sol, incluso cuando está oscuro.	没有什么能比一副酷炫的运动太阳镜更重要，哪怕身边一片漆黑。	ใครปิดไฟอ่ะ? อ้อ ใส่แว่นกันแดดอยู่นี่เอง ตึ่งโป๊ะ!
Items/Sunrice	Text	 [new]	Sunrice	Sonnreis	サンライス	햇쌀	Arrosol	太阳稻米	ข้าวหอมตะวัน
Items/SunriceDesc	Text	 [new]	A vibrant crop that braces you for tough encounters.	Ein kräftiges Getreide, das dich auf schwere Auseinandersetzungen vorbereitet.	強い敵との出会いにそなえられる活力のある作物。	힘겨운 적과의 싸움에 대비해 힘을 주는 활기 넘치는 작물입니다.	Un vibrante cultivo que te prepara para encuentros difíciles.	一棵生气勃勃的庄稼，能让人精神焕发，迎战劲敌。	"พืชเปี่ยมชีวิตชีวาที่ทำให้คุณ
พร้อมสำหรับการเผชิญหน้าอัน
ยากลำบาก"
Items/SunriceRare	Text	 [new]	Golden Sunrice	Goldener Sonnreis	金色のサンライス	금색 햇쌀	Arrosol dorado	金色太阳稻米	ข้าวหอมตะวันสีทอง
Items/SunriceRareDesc	Text	 [new]	A very rare variant of the common sunrice.	Eine sehr seltene Variante des Sonnreises.	普通のサンライスの非常に希少な亜種。	일반적인 햇쌀의 아주 희귀한 변종입니다.	Una variante muy inusual del arrosol común.	普通太阳稻米的变种，非常稀有。	ข้าวหอมตะวันอีกสายพันธุ์หนึ่งที่หายากมาก
Items/SunriceSeed	Text	 [new]	Sunrice Seed	Sonnreis-Samen	サンライスの種	햇쌀 씨앗	Semilla de arrosol	太阳稻米种子	เมล็ดข้าวหอมตะวัน
Items/SunriceSeedDesc	Text	 [new]	Grows into a bracing crop when planted. Only grows in prepared crystal ground.	Wächst zu einem stärkenden Getreide heran, wenn er eingepflanzt wird. Wächst nur in bearbeitetem Kristallboden.	植えると気を引きしめてくれる作物に成長する。準備がなされた結晶の床でしか育たない。	심으면 힘을 주는 작물로 자라납니다. 일궈진 크리스털 바닥에서만 자라납니다.	Cuando la plantas, crece hasta ser un cultivo vigorizante. Solo crece en suelo de cristal preparado.	栽种之后会长成一棵让人精神焕发的作物。只能在锄过的水晶地面上生长。	โตมาเป็นธัญพืชเสริมพลังเมื่อปลูก เติบโตในพื้นคริสตัลที่เตรียมไว้เท่านั้น
Items/SurfaceCoral1Large	Text	 [new]	Large Bicolor Coral	Große Zweifarb-Koralle	大きな二色サンゴ	대형 이색 산호	Coral bicolor grande	大型双色珊瑚	ปะการังสองสีขนาดใหญ่
Items/SurfaceCoral1LargeDesc	Text	 [new]	A large group of two coral species that grow together to form a symbiosis.	Eine große Ansammlung zweier Korallenarten, die zusammenwachsen, um eine Symbiose einzugehen.	二種類のサンゴが共生して成長し、大きな群れをなしたもの。	두 가지 종의 산호가 함께 자라 공생체를 이룬 대형 군락입니다.	Un gran grupo de dos especies de coral que crecen juntas para formar una simbiosis.	由两种不同的珊瑚组成的一大簇珊瑚。它们共同生长，形成了一种共生关系。	กลุ่มปะการังสองสายพันธุ์ขนาดใหญ่ที่โตมาด้วยกันในสภาวะพึ่งพิง
Items/SurfaceCoral1Medium	Text	 [new]	Bicolor Coral	Zweifarb-Koralle	二色サンゴ	이색 산호	Coral bicolor	双色珊瑚	ปะการังสองสี
Items/SurfaceCoral1MediumDesc	Text	 [new]	A group of two coral species that grow together to form a symbiosis.	Eine Ansammlung zweier Korallenarten, die zusammenwachsen, um eine Symbiose einzugehen.	二種類のサンゴが共生して成長し、群れをなしたもの。	두 가지 종의 산호가 함께 자라 공생체를 이룬 군락입니다.	Un grupo de dos especies de coral que crecen juntas para formar una simbiosis.	由两种不同的珊瑚组成的一簇珊瑚。它们共同生长，形成了一种共生关系。	กลุ่มปะการังสองสายพันธุ์ที่โตมาด้วยกันในสภาวะพึ่งพิง
Items/SurfaceCoral1Small	Text	 [new]	Small Bicolor Coral	Kleine Zweifarb-Koralle	小さな二色サンゴ	소형 이색 산호	Coral bicolor pequeño	小型双色珊瑚	ปะการังสองสีขนาดเล็ก
Items/SurfaceCoral1SmallDesc	Text	 [new]	A small group of two coral species that grow together to form a symbiosis.	Eine kleine Ansammlung zweier Korallenarten, die zusammenwachsen, um eine Symbiose einzugehen.	二種類のサンゴが共生して成長し、小さな群れをなしたもの。	두 가지 종의 산호가 함께 자라 공생체를 이룬 작은 군락입니다.	Un pequeño grupo de dos especies de coral que crecen juntas para formar una simbiosis.	由两种不同的珊瑚组成的一小簇珊瑚。它们共同生长，形成了一种共生关系。	กลุ่มปะการังสองสายพันธุ์ขนาดเล็กที่โตมาด้วยกันในสภาวะพึ่งพิง
Items/SurfaceCoral2Large	Text	 [new]	Large Crimson Coral	Große Purpur-Koralle	大きな真紅サンゴ	대형 핏빛 산호	Coral carmesí grande	大型暗红珊瑚	ปะการังแดงชาดขนาดใหญ่
Items/SurfaceCoral2LargeDesc	Text	 [new]	A large branchy coral that provides protection and food for small sea critters.	Eine große, verzweigte Koralle, die Schutz und Nahrung für kleine Meerestiere bietet.	枝分かれした大きなサンゴ。小さな海の生き物たちを守り、食べ物を与える役割がある。	커다랗고 가지가 많은 산호입니다. 작은 바다 생명체에게 안전과 먹이를 제공합니다.	Un coral ramificado grande que proporciona protección y alimento a pequeñas criaturas marinas.	一种大型枝状珊瑚，能为小型海洋生物提供保护与食物。	ปะการังแผ่กิ่งก้านขนาดใหญ่ที่มอบทั้งการปกป้องและอาหารให้กับสัตว์ทะเลตัวเล็ก
Items/SurfaceCoral2Small	Text	 [new]	Crimson Coral	Purpur-Koralle	真紅サンゴ	핏빛 산호	Coral carmesí	暗红珊瑚	ปะการังแดงชาด
Items/SurfaceCoral2SmallDesc	Text	 [new]	A small branchy coral that provides protection and food for small sea critters.	Eine kleine, verzweigte Koralle, die Schutz und Nahrung für kleine Meerestiere bietet.	枝分かれした小さなサンゴ。小さな海の生き物たちを守り、食べ物を与える役割がある。	작고 가지가 많은 산호입니다. 작은 바다 생명체에게 안전과 먹이를 제공합니다.	Un coral ramificado pequeño que proporciona protección y alimento a pequeñas criaturas marinas.	一种小型枝状珊瑚，能为小型海洋生物提供保护与食物。	ปะการังแผ่กิ่งก้านที่มอบทั้งการปกป้องและอาหารให้กับสัตว์ทะเลตัวเล็ก
Items/SurfaceCoral3Large	Text	 [new]	Large Dish Coral	Große Teller-Koralle	大きな皿サンゴ	대형 접시 산호	Coral plato grande	大型碟状珊瑚	ปะการังจานขนาดใหญ่
Items/SurfaceCoral3LargeDesc	Text	 [new]	A large coral that develops a wide brim above the water surface, providing a safe island for small organisms.	Eine große Koralle, die einen weiten Schirm über der Wasseroberfläche ausbildet und so eine Insel der Sicherheit für kleine Organismen bietet.	水面に広いつばを生やした大きなサンゴ。小さな生命体にとっての安全な島となっている。	수면 위에 넓은 챙이 자라나, 작은 생명체에게 안전한 섬이 되어 주는 커다란 산호입니다.	Un coral grande que desarrolla un borde ancho sobre la superficie del agua, proporcionando una isla segura para pequeños organismos.	一株大型珊瑚，会在水面上方形成一圈宽阔的边沿，为那些体型微小的有机体提供一处安全的岛屿。	ปะการังขนาดใหญ่ที่เป็นทรงจานแผ่อยู่เหนือผืนน้ำ และกลายเป็นเกาะอันปลอดภัยสำหรับสิ่งมีชีวิตขนาดเล็กทั้งหลาย
Items/SurfaceCoral3Small	Text	 [new]	Dish Coral	Teller-Koralle	皿サンゴ	접시 산호	Coral plato	碟状珊瑚	ปะการังจาน
Items/SurfaceCoral3SmallDesc	Text	 [new]	A small coral that develops a wide brim above the water surface, providing a safe island for small organisms.	Eine kleine Koralle, die einen weiten Schirm über der Wasseroberfläche ausbildet und so eine Insel der Sicherheit für kleine Organismen bietet.	水面に広いつばを生やした小さなサンゴ。小さな生命体にとっての安全な島となっている。	수면 위에 넓은 챙이 자라나, 작은 생명체에게 안전한 섬이 되어 주는 작은 산호입니다.	Un coral pequeño que desarrolla un borde ancho sobre la superficie del agua, proporcionando una isla segura para pequeños organismos.	一株小型珊瑚，会在水面上方形成一圈宽阔的边沿，为那些体型微小的有机体提供一处安全的岛屿。	ปะการังที่เป็นทรงจานแผ่อยู่เหนือผืนน้ำ และกลายเป็นเกาะอันปลอดภัยสำหรับสิ่งมีชีวิตขนาดเล็กทั้งหลาย
Items/SuspendedButterfly	Text	 [new]	Suspended Butterfly	Erstarrter Schmetterling	時が止まった蝶	정지 상태의 나비	Mariposa suspendida	悬停蝴蝶	ผีเสื้อคงสภาพ
Items/SuspendedButterflyDesc	Text	 [new]	A fragile butterfly that has been completely corrupted by crystals.	Ein zerbrechlicher Schmetterling, dessen Körper komplett von Kristallen durchzogen ist.	結晶によって完全に蝕まれたもろい蝶。	연약한 나비. 크리스털에 완전히 오염되었습니다.	Una frágil mariposa corrompida completamente por cristales.	一只已经完全被水晶腐蚀了的脆弱蝴蝶。	ผีเสื้อบอบบางที่ถูกคริสตัลกลืนกินอย่างสมบูรณ์
Items/SwampMageBreastArmor	Text	 [new]	Lily Pad Tunic	Seerosen-Tunika	スイレンの葉のチュニック	수련잎 튜닉	Túnica de nenúfar	睡莲短袍	เสื้อคลุมใบบัว
Items/SwampMageBreastArmorDesc	Text	 [new]	A light shirt with a lily pad strapped over. A little flower is keeping it tied in place.	Ein leichtes Hemd mit einer Seerose. Eine kleine Blume hält sie an ihrem Platz befestigt.	スイレンの葉が結びつけられた軽いシャツ。小さな花が葉を固定してくれている。	수련잎을 매단 밝은색 셔츠. 작은 꽃으로 고정되어 있습니다.	Una camisa clara con un nenúfar encima. La pequeña flor lo mantiene en su sitio.	系有一片睡莲叶的轻薄衬衫，叶子由一朵小花固定。	เสื้อน้ำหนักเบาที่มีใบบัวคาดอยู่ ดอกไม้ดอกเล็กยึดทุกอย่างอยู่กับที่
Items/SwampMageHelm	Text	 [new]	Lily Pad Hat	Seerosen-Hut	スイレンの葉の帽子	수련잎 모자	Casco de nenúfar	睡莲帽	หมวกใบบัว
Items/SwampMageHelmDesc	Text	 [new]	This lily pad appears unusually sturdy. It fits on your head nicely.	Diese Seerose wirkt ungewöhnlich robust. Sie passt perfekt auf deinen Kopf.	異常なほどに頑丈なスイレンの葉。フィット感がバツグン。	유달리 튼튼해 보이는 수련잎. 머리에 딱 맞습니다.	Este nenúfar parece inusualmente resistente. Se ajusta a la perfección a la cabeza.	看上去特别结实的睡莲叶，戴在头上很合适。	ใบบัวใบนี้ดูมั่นคงเป็นพิเศษ เข้ากับหัวของคุณพอดี
Items/SwampMagePantsArmor	Text	 [new]	Lily Pad Shorts	Seerosen-Shorts	スイレンの葉のショーツ	수련잎 반바지	Pantalón corto de nenúfar	睡莲短裤	กางเกงขาสั้นใบบัว
Items/SwampMagePantsArmorDesc	Text	 [new]	A light pair of shorts with a lily pad strapped around the hip. 	Leichte Shorts mit einer Seerose an der Hüfte.	お尻の辺りにスイレンの葉が結びつけられた軽いショーツ。	허리춤에 수련잎을 매단 밝은색 반바지입니다.	Un pantalón corto claro con un nenúfar amarrado a la altura de la cadera.	一条轻薄的短裤，臀部位置绑有一片睡莲叶。	"กางเกงขาสั้นน้ำหนักเบาที่มี
ใบบัวคาดบริเวณสะโพก"
Items/SwiftFeather	Text	 [new]	Swift Feather	Flink-Feder	スピードの羽	신속 깃털	Pluma de premura	迅捷羽毛	ขนนกว่องไว
Items/SwiftFeatherDesc	Text	 [new]	A mysterious feather that allows you to dash out of danger.	Eine mysteriöse Feder, die es dir erlaubt, aus gefährlichen Situationen zu preschen.	不思議な羽。危険から急いで脱出できる。	위험에서 벗어나게 하는 수수께끼의 깃털입니다.	Una misteriosa pluma que te permite escapar a toda pastilla del peligro.	一片神秘的羽毛，能让你迅速从险境中脱身。	ขนนกลึกลับที่ช่วยให้คุณหนีจากอันตรายได้อย่างรวดเร็ว
Items/SwiftRing	Text	 [new]	Swift Ring	Flink-Ring	スピードリング	신속 반지	Anillo de premura	迅捷戒指	แหวนว่องไว
Items/SwiftRingDesc	Text	 [new]	Wearing this winged ring creates a slight wind that pushes you forward.	Wird dieser Ring getragen, entsteht ein leichter Rückenwind, der dich vorwärtstreibt.	羽が生えたリング。身に着けた者にわずかな追い風を与える。	이 날개 달린 반지를 착용하면 착용자를 앞으로 나아가게 하는 미풍이 생겨납니다.	Llevar este anillo alado crea un ligero viento que te empuja hacia delante.	只要戴上这枚长着翅膀的戒指，身后便会出现一缕轻风，将你推向前方。	การสวมแหวนติดปีกวงนี้จะสร้างลมอ่อนๆ ช่วยผลักคุณไปข้างหน้า
Items/SwimingPantsArmorBlue	Text	 [new]	Blue Board Shorts	Blaue Boardshorts	青色のボードショーツ	파랑 서핑 반바지	Pantalones cortos azules	蓝色沙滩短裤	กางเกงเซิร์ฟสีน้ำเงิน
Items/SwimingPantsArmorBlueDesc	Text	 [new]	Wearing those chill blue shorts tempts you to constantly form the shaka sign with your hand.	Wenn du diese entspannten, blauen Shorts trägst, willst du permanent das Shaka-Symbol mit deiner Hand machen.	イカした青色の水着。このショーツをはくと常にシャカサインを披露したい衝動にかられる。	이 멋진 파란색 반바지를 입으면 계속 샤카 손 모양을 만들고 싶어집니다.	Llevar estos molones pantalones cortos azules te invita a hacer constantemente el saludo surfero con la mano.	穿上这条休闲风格的蓝色短裤，会让你无时无刻不想比出一个“六”的手势，像真正的沙滩度假客一样跟别人打招呼。	ใส่กางเกงขาสั้นสีน้ำเงินแบบนี้แล้วอยากทำมือเป็นสัญลักษณ์โต้คลื่นอยู่เรื่อย
Items/SwimingPantsArmorGreen	Text	 [new]	Green Board Shorts	Grüne Boardshorts	緑色のボードショーツ	초록 서핑 반바지	Pantalones cortos verdes	绿色沙滩短裤	กางเกงเซิร์ฟสีเขียว
Items/SwimingPantsArmorGreenDesc	Text	 [new]	Wearing those chill green shorts tempts you to constantly form the shaka sign with your hand.	Wenn du diese entspannten, grünen Shorts trägst, willst du permanent das Shaka-Symbol mit deiner Hand machen.	イカした緑色の水着。このショーツをはくと常にシャカサインを披露したい衝動にかられる。	이 멋진 초록색 반바지를 입으면 계속 샤카 손 모양을 만들고 싶어집니다.	Llevar estos molones pantalones cortos verdes te invita a hacer constantemente el saludo surfero con la mano.	穿上这条休闲风格的绿色短裤，会让你无时无刻不想比出一个“六”的手势，像真正的沙滩度假客一样跟别人打招呼。	ใส่กางเกงขาสั้นสีเขียวแบบนี้แล้วอยากทำมือเป็นสัญลักษณ์โต้คลื่นอยู่เรื่อย
Items/SwimingPantsArmorRed	Text	 [new]	Red Board Shorts	Rote Boardshorts	赤色のボードショーツ	빨강 서핑 반바지	Pantalones cortos rojos	红色沙滩短裤	กางเกงเซิร์ฟสีแดง
Items/SwimingPantsArmorRedDesc	Text	 [new]	Wearing those chill red shorts tempts you to constantly form the shaka sign with your hand.	Wenn du diese entspannten, roten Shorts trägst, willst du permanent das Shaka-Symbol mit deiner Hand machen.	イカした赤色の水着。このショーツをはくと常にシャカサインを披露したい衝動にかられる。	이 멋진 빨간색 반바지를 입으면 계속 샤카 손 모양을 만들고 싶어집니다.	Llevar estos molones pantalones cortos rojos te invita a hacer constantemente el saludo surfero con la mano.	穿上这条休闲风格的红色短裤，会让你无时无刻不想比出一个“六”的手势，像真正的沙滩度假客一样跟别人打招呼。	ใส่กางเกงขาสั้นสีแดงแบบนี้แล้วอยากทำมือเป็นสัญลักษณ์โต้คลื่นอยู่เรื่อย
Items/TableSaw	Text	 [new]	Table Saw	Tischsäge	テーブルソー	테이블톱	Sierra de mesa	台锯	โต๊ะเลื่อย
Items/TableSawDesc	Text	 [new]	A simple saw to cut materials into slates. Requires electricity.	Eine einfache Säge, um Materialien in Scheiben zu schneiden. Benötigt Elektrizität.	素材をうすく切るためのシンプルなのこぎり。使用には電気が必要。	재료를 판 모양으로 자르는 단순한 톱입니다. 전기가 필요합니다.	Una sencilla sierra para cortar materiales en planchas. Necesita electricidad.	一把朴素的锯子，可以将各种材料锯成板状。需要电力。	เลื่อยง่ายๆ สำหรับตัดวัสดุเป็นแผ่น ต้องใช้ไฟฟ้า
Items/TallBarnacleGrass	Text	 [new]	Tall Barnacle Grass	Hohes Seepocken-Gras	背の高いフジツボ草	키 큰 따개비 잔디	Hierba de percebes alta	高杆藤壶草	หญ้าเพรียงสูง
Items/TallBarnacleGrassDesc	Text	 [new]	A large group of long-necked barnacles stretching out from the ground.	Eine große Gruppe von langstieligen Seepocken, die sich aus dem Boden recken.	地面から顔を出している、長い首を持つフジツボの大きな群れ。	땅에서 뻗어나온 긴 따개비들의 큰 무리입니다.	Una gran agrupación de percebes de cuello largo que crecen del suelo.	一大群伸出地面的长颈藤壶。	กลุ่มขนาดใหญ่ของเพรียงคอยาวที่โผล่ขึ้นมาจากพื้น
Items/TallCrystalGrass	Text	 [new]	Tall Crystal Grass	Hohes Kristallgras	結晶の高草	키 큰 크리스털 잔디	Hierba de cristal alta	高杆水晶草	หญ้าคริสตัลสูง
Items/TallCrystalGrassDesc	Text	 [new]	A tall, strange growth that consists of broad, transparent leaves.	Ein hohes, merkwürdiges Gewächs, das aus breiten, transparenten Blättern besteht.	背が高く、幅広く透明な葉に成長した奇妙な植物。	넓고 투명한 이파리로 이루어진 키가 크고 기이한 풀입니다.	Una extraña excrecencia alta que consiste en hojas transparentes y anchas.	一株奇怪的高杆植物，长着宽大的透明叶片。	"ต้นไม้สูงแปลกประหลาดที่มี
ใบเรียวโปร่งแสง"
Items/TallGrass	Text	 [new]	Tall Grass	Hohes Gras	高草	키 큰 잔디	Hierba alta	高杆草	หญ้าสูง
Items/TallGrassDesc	Text	 [new]	A large patch of tall grass to use as a decorative.	Ein großes Büschel hohes Gras, kann zum Dekorieren verwendet werden.	大きな高さの草むら。装飾に使用する。	장식으로 사용하는 키 큰 잔디의 거대한 조각입니다.	Un trozo grande de hierba alta para usar como decoración.	一大块高杆草，可以用作装饰品。	กลุ่มหญ้าที่ขึ้นสูงใช้เพื่อตกแต่ง
Items/TallLandKelp	Text	 [new]	Tall Land Algae	Große Land-Alge	背の高い陸藻	키 큰 육상 해초	Algas terrestres altas	高杆陆生海藻	สาหร่ายบกสูง
Items/TallLandKelpDesc	Text	 [new]	A large type of algae that can grow outside of water.	Eine große Algenart, die außerhalb von Gewässern wachsen kann.	水の外で育つ大きな藻類。	물 밖에서 자랄 수 있는 거대한 해초입니다.	Un tipo de algas grandes que pueden crecer fuera del agua.	一种大型海藻，能在水域以外的地方生长。	สาหร่ายขนาดใหญ่ชนิดนี้สามารถเติบโตได้โดยไม่ต้องอยู่ในน้ำ
Items/TamerBreastArmor	Text	 [new]	Wildwarden Pauldrons	Wildwächter-Schulterstücke	ワイルドウォーデンの肩甲	야생파수꾼 견갑	Hombreras de guardabosques	蛮荒守护者护肩甲	เสื้อเกราะไหล่ผู้พิทักษ์พงไพร
Items/TamerBreastArmorDesc	Text	 [new]	This wooden chest-piece is wrapped in a bundle of mysteriously unwithering leaves.	Dieser hölzerne Schulterpanzer ist ein Bündel aus mysteriösen, ewig währenden Blättern gehüllt.	不思議にも枯れない葉の束でおおわれている木製の胸当て。	신비롭게도 시들지 않는 나뭇잎에 싸여 있는 나무 갑옷입니다.	Estas piezas de protección de madera están cubiertas de un amasijo de hojas que misteriosamente nunca se marchitan.	一件木制的胸甲，被一束永不枯萎的神秘树叶包裹着。	เกราะส่วนอกที่ทำจากไม้นี้ปกคลุมด้วยกลุ่มใบไม้ไม่เหี่ียวเฉาลึกลับ
Items/TamerHelm	Text	 [new]	Wildwarden Mask	Wildwächter-Maske	ワイルドウォーデンの仮面	야생파수꾼 가면	Máscara de guardabosques	蛮荒守护者面具	หน้ากากผู้พิทักษ์พงไพร
Items/TamerHelmDesc	Text	 [new]	A wooden mask with decorative leaves and horns attuned to the wildlife.	Eine hölzerne Maske mit dekorativen Blättern und Hörnern, die auf die Tierwelt eingestimmt ist.	葉っぱと角の装飾が野生生物に同調している木製の仮面。	야생 동물에 맞춰 장식용 나뭇잎과 뿔이 달린 나무 가면입니다.	Una máscara de madera decorada con hojas y cuernos al estilo salvaje.	一个饰有树叶和兽角的木制面具。	หน้ากากไม้พร้อมใบไม้ประดับและเขาที่ปรับให้เข้ากับธรรมชาติ
Items/TamerNecklace	Text	 [new]	Wildwarden Necklace	Wildwächter-Halskette	ワイルドウォーデンのネックレス	야생파수꾼 목걸이	Collar de guardabosques	蛮荒守护者项链	สร้อยคอผู้พิทักษ์พงไพร
Items/TamerNecklaceDesc	Text	 [new]	An animalistic emblem decorated with golden trinkets that ring out to the wild.	Ein animalistisches Emblem, dekoriert mit goldenen Schmuckstücken, deren Klimpern in die Wildnis hinaus hallt.	野生にとどろく黄金の装飾品がついた動物的な紋章。	야생을 향해 울리는 황금 장신구로 장식된 동물 모양의 상징입니다.	Un emblema animal decorado con baratijas doradas de estilo salvaje.	一枚动物式样的纹章，以金色的小饰品作为点缀，在蛮荒之地叮当作响。	"ตรารูปสัตว์แต่งด้วยเครื่องประดับทองคำ
ซึ่งสอดคล้องกับธรรมชาติ"
Items/TamerPantsArmor	Text	 [new]	Wildwarden Pants	Wildwächter-Hose	ワイルドウォーデンのズボン	야생파수꾼 바지	Grebas de guardabosques	蛮荒守护者裤子	กางเกงผู้พิทักษ์พงไพร
Items/TamerPantsArmorDesc	Text	 [new]	Leafy legwear made from ancient wooden roots that seem to connect with the earth whenever one stands still.	Blättrige Beinkleidung aus uralten Wurzeln, die sich mit der Erde zu verbinden scheinen, sobald man still steht.	古代の木の根で出来た、葉っぱのあしらわれた足具。立ち止まるたびに根が大地とつながるようだ。	나뭇잎이 달려 있는 다리 장비입니다. 고대의 나무 뿌리로 만들어졌으며, 착용자가 가만히 서 있을 때마다 그 뿌리가 대지와 연결되는 듯합니다.	Frondosa protección para piernas hecha con antiguas raíces de madera que parecen conectarse con la tierra cuando permaneces de pie en un sitio.	用上古时代的树根做成的枝叶繁茂的裤子，每当人静立不动的时候，都仿佛与大地连结在了一起。	กางเกงใบไม้ที่สร้างจากรากไม้โบราณ ดูราวกับพยายามหยั่งรากลงดินทุกครั้งที่ยืนอยู่นิ่งๆ
Items/TamerRing	Text	 [new]	Wildwarden Ring	Wildwächter-Ring	ワイルドウォーデンのリング	야생파수꾼 반지	Anillo de guardabosques	蛮荒守护者戒指	แหวนผู้พิทักษ์พงไพร
Items/TamerRingDesc	Text	 [new]	A wooden ring with two smaller rings around it. One symbolises the warden and the other the bonded beast.	Ein Holzring mit zwei kleineren Ringen daran. Einer symbolisiert den Wächter und der andere das ihm anvertraute Tier.	小さなリングが2つついた木製のリング。ひとつはウォーデンを象徴し、ひとつは絆で結ばれた獣を象徴している。	두 개의 더 작은 고리에 둘러싸인 나무 반지입니다. 하나는 파수꾼을 상징하며, 다른 하나는 속박당한 짐승을 상징합니다.	Un anillo de madera con dos anillos más pequeños a su alrededor. Uno simboliza al guardabosques, el otro a la bestia conectada a él.	一枚木制戒指，上面还套着两枚稍小的戒指。其中一枚象征守护者，另一枚则象征着与之紧密依存的野兽。	แหวนไม้ที่มีวงแหวนเล็กๆ สองวงติดอยู่ วงหนึ่งเป็นตัวแทนผู้พิทักษ์ ส่วนอีกวงแทนสัตว์ที่ผูกสัมพันธ์ด้วย
